Site,Habitat,Temp.mean,Temp.sd,DO.mean,DO.sd,Salinity.mean,Salinity.sd,Chl.mean,Chl.sd,pH.mean,pH.sd,pH.dates,nonpH.dates
CI,B,16.85,1.75,11.05,2.96,24.64,1.69,335.07,603.75,8.05,0.11,06.19 to 06.30.19,06.19 to 09.05.19
CI,E,16.73,1.71,11.27,2.59,NA,NA,NA,NA,7.98,0.2,06.19 to 06.30.19,06.19 to 09.05.19
FB,B,15.38,1.54,10.5,2.36,29.69,1.59,231.62,424.91,8.07,0.15,06.19 to 07.13.19,06.19 to 09.05.19
FB,E,15.41,1.54,10.77,2.48,27.06,5.22,NA,NA,NA,NA,06.19 to 07.13.19,06.19 to 09.05.19
PG,B,15.15,1.03,10.59,2.04,31.9,1.97,238.21,141.96,7.9,0.17,06.19 to 07.04.19,06.19 to 09.05.19
PG,E,14.93,0.98,10.34,1.82,31.93,2.05,NA,NA,7.81,0.17,06.19 to 07.04.19,06.19 to 09.05.19
SK,B,16.85,2.89,10.8,3.03,29.63,1.3,602.17,1568.41,8.01,0.2,06.19 to 07.14.19,06.19 to 09.05.19
SK,E,15.84,2.7,9.52,4.44,29.57,3.02,NA,NA,NA,NA,06.19 to 07.14.19,06.19 to 09.05.19
